==== 3D Bin Packing Problem Test Cases ====

==== Number of Items: 50 ====
---- Test Type: 1 : 100 100 100 ----
Test 1 (Type 1, n=50)
Item-Item3D-1: [W=69, H=69, L=27]
Item-Item3D-2: [W=70, H=69, L=32]
Item-Item3D-3: [W=69, H=100, L=29]
Item-Item3D-4: [W=75, H=98, L=43]
Item-Item3D-5: [W=76, H=38, L=89]
Item-Item3D-6: [W=14, H=90, L=86]
Item-Item3D-7: [W=89, H=67, L=31]
Item-Item3D-8: [W=71, H=69, L=18]
Item-Item3D-9: [W=97, H=64, L=60]
Item-Item3D-10: [W=68, H=92, L=48]
Item-Item3D-11: [W=99, H=11, L=82]
Item-Item3D-12: [W=15, H=69, L=74]
Item-Item3D-13: [W=89, H=5, L=75]
Item-Item3D-14: [W=98, H=95, L=31]
Item-Item3D-15: [W=91, H=81, L=19]
Item-Item3D-16: [W=85, H=5, L=92]
Item-Item3D-17: [W=95, H=91, L=5]
Item-Item3D-18: [W=84, H=91, L=3]
Item-Item3D-19: [W=74, H=98, L=27]
Item-Item3D-20: [W=83, H=84, L=89]
Item-Item3D-21: [W=81, H=91, L=30]
Item-Item3D-22: [W=19, H=6, L=15]
Item-Item3D-23: [W=76, H=80, L=24]
Item-Item3D-24: [W=84, H=93, L=45]
Item-Item3D-25: [W=77, H=98, L=32]
Item-Item3D-26: [W=81, H=98, L=19]
Item-Item3D-27: [W=5, H=28, L=37]
Item-Item3D-28: [W=91, H=84, L=27]
Item-Item3D-29: [W=94, H=79, L=31]
Item-Item3D-30: [W=99, H=98, L=30]
Item-Item3D-31: [W=85, H=87, L=33]
Item-Item3D-32: [W=78, H=98, L=35]
Item-Item3D-33: [W=93, H=81, L=31]
Item-Item3D-34: [W=50, H=87, L=89]
Item-Item3D-35: [W=88, H=54, L=98]
Item-Item3D-36: [W=49, H=97, L=74]
Item-Item3D-37: [W=89, H=74, L=84]
Item-Item3D-38: [W=66, H=78, L=49]
Item-Item3D-39: [W=22, H=68, L=78]
Item-Item3D-40: [W=4, H=88, L=78]
Item-Item3D-41: [W=37, H=66, L=73]
Item-Item3D-42: [W=98, H=79, L=22]
Item-Item3D-43: [W=72, H=64, L=91]
Item-Item3D-44: [W=99, H=92, L=27]
Item-Item3D-45: [W=22, H=16, L=6]
Item-Item3D-46: [W=1, H=78, L=99]
Item-Item3D-47: [W=98, H=2, L=96]
Item-Item3D-48: [W=81, H=95, L=38]
Item-Item3D-49: [W=69, H=88, L=45]
Item-Item3D-50: [W=3, H=69, L=98]

Test 2 (Type 1, n=50)
Item-Item3D-1: [W=68, H=66, L=1]
Item-Item3D-2: [W=3, H=26, L=13]
Item-Item3D-3: [W=97, H=100, L=18]
Item-Item3D-4: [W=94, H=11, L=69]
Item-Item3D-5: [W=18, H=14, L=12]
Item-Item3D-6: [W=89, H=99, L=34]
Item-Item3D-7: [W=75, H=92, L=4]
Item-Item3D-8: [W=71, H=89, L=30]
Item-Item3D-9: [W=72, H=98, L=39]
Item-Item3D-10: [W=81, H=94, L=31]
Item-Item3D-11: [W=74, H=92, L=15]
Item-Item3D-12: [W=23, H=75, L=70]
Item-Item3D-13: [W=78, H=100, L=39]
Item-Item3D-14: [W=83, H=74, L=50]
Item-Item3D-15: [W=74, H=74, L=15]
Item-Item3D-16: [W=12, H=31, L=8]
Item-Item3D-17: [W=36, H=9, L=6]
Item-Item3D-18: [W=68, H=94, L=2]
Item-Item3D-19: [W=96, H=72, L=21]
Item-Item3D-20: [W=89, H=30, L=85]
Item-Item3D-21: [W=58, H=71, L=94]
Item-Item3D-22: [W=72, H=83, L=11]
Item-Item3D-23: [W=1, H=4, L=34]
Item-Item3D-24: [W=94, H=96, L=91]
Item-Item3D-25: [W=86, H=25, L=91]
Item-Item3D-26: [W=17, H=47, L=47]
Item-Item3D-27: [W=94, H=77, L=25]
Item-Item3D-28: [W=88, H=22, L=86]
Item-Item3D-29: [W=14, H=5, L=38]
Item-Item3D-30: [W=3, H=97, L=87]
Item-Item3D-31: [W=89, H=91, L=42]
Item-Item3D-32: [W=16, H=84, L=85]
Item-Item3D-33: [W=99, H=36, L=77]
Item-Item3D-34: [W=74, H=83, L=21]
Item-Item3D-35: [W=41, H=50, L=31]
Item-Item3D-36: [W=69, H=81, L=42]
Item-Item3D-37: [W=91, H=81, L=10]
Item-Item3D-38: [W=40, H=2, L=44]
Item-Item3D-39: [W=82, H=94, L=26]
Item-Item3D-40: [W=80, H=79, L=25]
Item-Item3D-41: [W=86, H=76, L=38]
Item-Item3D-42: [W=49, H=97, L=99]
Item-Item3D-43: [W=76, H=14, L=94]
Item-Item3D-44: [W=46, H=14, L=40]
Item-Item3D-45: [W=79, H=90, L=46]
Item-Item3D-46: [W=84, H=93, L=37]
Item-Item3D-47: [W=93, H=6, L=93]
Item-Item3D-48: [W=74, H=93, L=18]
Item-Item3D-49: [W=48, H=39, L=12]
Item-Item3D-50: [W=89, H=91, L=41]

Test 3 (Type 1, n=50)
Item-Item3D-1: [W=33, H=66, L=100]
Item-Item3D-2: [W=83, H=82, L=12]
Item-Item3D-3: [W=91, H=96, L=27]
Item-Item3D-4: [W=73, H=67, L=46]
Item-Item3D-5: [W=90, H=68, L=12]
Item-Item3D-6: [W=85, H=71, L=7]
Item-Item3D-7: [W=93, H=97, L=43]
Item-Item3D-8: [W=92, H=92, L=11]
Item-Item3D-9: [W=77, H=89, L=8]
Item-Item3D-10: [W=98, H=92, L=9]
Item-Item3D-11: [W=73, H=40, L=87]
Item-Item3D-12: [W=75, H=96, L=1]
Item-Item3D-13: [W=66, H=100, L=20]
Item-Item3D-14: [W=83, H=21, L=75]
Item-Item3D-15: [W=14, H=97, L=87]
Item-Item3D-16: [W=86, H=95, L=20]
Item-Item3D-17: [W=83, H=66, L=5]
Item-Item3D-18: [W=27, H=46, L=10]
Item-Item3D-19: [W=83, H=67, L=82]
Item-Item3D-20: [W=82, H=80, L=2]
Item-Item3D-21: [W=91, H=66, L=19]
Item-Item3D-22: [W=83, H=80, L=42]
Item-Item3D-23: [W=85, H=82, L=25]
Item-Item3D-24: [W=73, H=86, L=56]
Item-Item3D-25: [W=92, H=91, L=24]
Item-Item3D-26: [W=68, H=100, L=45]
Item-Item3D-27: [W=70, H=90, L=42]
Item-Item3D-28: [W=72, H=92, L=8]
Item-Item3D-29: [W=99, H=99, L=7]
Item-Item3D-30: [W=73, H=28, L=88]
Item-Item3D-31: [W=66, H=87, L=42]
Item-Item3D-32: [W=84, H=71, L=4]
Item-Item3D-33: [W=3, H=70, L=74]
Item-Item3D-34: [W=14, H=48, L=47]
Item-Item3D-35: [W=94, H=100, L=43]
Item-Item3D-36: [W=87, H=67, L=36]
Item-Item3D-37: [W=95, H=68, L=80]
Item-Item3D-38: [W=85, H=99, L=27]
Item-Item3D-39: [W=83, H=71, L=70]
Item-Item3D-40: [W=99, H=83, L=39]
Item-Item3D-41: [W=100, H=77, L=15]
Item-Item3D-42: [W=9, H=74, L=82]
